time,open,high,low,close,"BTC.D, CRYPTOCAP: Open","BTC.D, CRYPTOCAP: High","BTC.D, CRYPTOCAP: Low","BTC.D, CRYPTOCAP: Close",MA,Smoothing Line,MA,Smoothing Line,MA,Smoothing Line,EMA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Rolling POC,Volume,Volume MA
1605484800,451579094029.89935,478843800098.3651,445415945764.03516,470239232579.13855,65.58308755115026,66.07438821687634,65.40847550075847,65.93392017072519,392210099035.4219,386905170846.1589,374880843588.92267,370838677815.39465,371737023614.69226,367022565346.675,399383612425.7329,394382021599.5102,NaN,NaN,NaN,NaN,249333400670.9848,121475442133.21371
1605571200,469578672161.26605,503595367757.2856,460751608084.5201,492890634488.2615,66.067699240726,66.6980396872813,65.80390067601168,66.52801885619708,395395683055.4817,389665198776.41425,377389870830.3937,372963843071.6864,374353216947.0023,369466115880.11743,402800391289.0625,397188144829.36096,NaN,NaN,NaN,NaN,139715045772.68283,121850102430.53958
1605657600,492518198285.66907,514872280253.0686,468558575295.8672,491917381685.3355,66.5865468605046,67.4568724899373,66.58187036822068,67.06067752674294,398869592715.9687,392571850140.29504,379825577191.816,375152463762.4973,377119171057.72296,372017134272.6526,406474879451.8168,400283723036.84625,NaN,NaN,NaN,NaN,169687884267.9128,123059051004.05215
1605744000,492285221321.59283,505336354928.9249,476956264586.39514,492876733788.94293,67.0399150519947,67.45876071518899,66.76571288465755,67.0818023845331,402154975184.1332,395610142659.5939,382386056088.2983,377450307482.4071,380034630251.60767,374689632932.30426,409716239303.5252,403427895125.73926,NaN,NaN,NaN,NaN,131142853010.91493,123723942163.72595
1605830400,492913254380.2127,525548639757.1781,488333097936.43713,517521010253.1401,67.06901048896225,67.44523439626042,66.44254204964493,66.98131130641313,405771054323.73,398880280862.9472,385663789592.51733,380029227458.38983,383299603846.74335,377559623237.1173,413514022924.9564,406789937725.47833,NaN,NaN,NaN,NaN,146178759305.07867,125859298575.34888
1605916800,517504472508.64105,544201815986.1243,506540061844.5037,536112004291.74554,66.97798418334877,67.1400434346692,64.68726499673713,64.79142220642646,409961338735.0771,402430528802.8783,389178706330.71313,382888800006.7479,387029773205.59326,380716339893.27594,417798868599.0931,410459581350.0166,NaN,NaN,NaN,NaN,192516449418.99954,131151852278.78357
1606003200,536398329138.9342,545249658149.73334,498307609877.3472,528241637173.2765,64.76575540068809,65.52288456529205,63.864491172569174,64.74303935413094,414232026410.606,406197797473.9032,392765550283.60114,385963935897.3894,390485441781.66046,383972707189.4041,421977583010.5895,414298915236.8742,NaN,NaN,NaN,NaN,209075081325.05435,135826720432.70479
1606089600,529002100743.6926,558821197016.018,515791827185.2984,546875287212.06085,64.64407361412115,64.75072103289996,62.364274073331785,62.364274073331785,418712985649.55804,410166476060.6211,396364988403.80206,389271818139.7866,394283588576.72516,387409667651.8445,426464258879.61993,418354029784.4561,NaN,NaN,NaN,NaN,215789288397.6098,141042182147.14328
1606176000,547338253817.0701,593323916705.2871,527143526338.0818,569290411863.0911,62.32635170938619,63.59356716935602,60.79537052396993,62.44525214565586,423815126739.7528,414498506371.745,400315095268.1869,392857625975.7644,398239775788.1543,391019703697.28107,431935067332.9205,422881042300.6109,NaN,NaN,NaN,NaN,263713631696.24576,147856786498.80972
1606262400,571237123665.8088,586108159047.458,537220772956.619,550707867459.2272,62.282098563188136,63.793560055633634,61.698615144294386,63.1123253199924,428790506866.09424,419102396880.2179,403928293059.174,396510526669.0957,402521675221.4137,394853694205.32526,436989922798.9709,427584002466.7309,NaN,NaN,NaN,NaN,219780597275.96484,152378904389.5021
1606348800,550864974003.5844,561023524224.2952,467225795549.4824,503426102067.39484,63.0801186322547,64.40719243595996,62.54581063515489,63.24813386784304,433393698000.7605,423788868733.35455,406713259341.1694,400017437271.18695,405415861341.86945,398374416584.17334,441056598255.5389,432074867729.6669,NaN,NaN,NaN,NaN,276155968567.64246,159325585902.18356
1606435200,503879197090.18524,518452488471.7384,480197220512.00366,505109236238.94086,63.22470219550278,63.5108844197686,62.53405595978987,63.01960024648222,436976125497.9957,428337688550.8325,409570204629.63257,403378368140.39325,408562432278.6765,401770421815.6744,443594168426.5618,435914634628.63184,NaN,NaN,NaN,NaN,178143950597.6631,161358416208.3074
1606521600,505349149896.2656,534389753251.1109,494603329352.1449,524401328612.4395,63.015028247639925,63.31342059617941,62.145165811822125,62.78305220891085,440733285459.5011,432741748512.8211,412671165450.39764,406639603549.71234,411796186321.3511,405112343317.5666,446571072847.0388,439466780701.43414,NaN,NaN,NaN,NaN,152099691067.81232,164218312181.9711
1606608000,524062347971.11127,545713653982.6749,514354990434.6426,537924391132.5878,62.76514338715706,63.265841454791705,62.41074958795198,62.760966449445974,444492507687.26306,436877224702.3231,416013338670.24963,409779252230.1249,415255973558.8474,408493553397.9935,449821649277.7154,442918403560.1946,NaN,NaN,NaN,NaN,143477472727.8249,165606533002.96655
1606694400,538217176114.5052,589377079176.063,531485989175.7169,577835410160.2156,62.7456355267642,63.54029918850767,62.549521417836395,63.272283702578555,449171070331.344,440953337395.37317,420106286428.199,413014850903.9299,418952096861.71704,411979734552.56805,454397237143.235,446744681421.20807,NaN,NaN,NaN,NaN,202169085910.00775,170893048645.3214
1606780800,577961958542.4268,589923853907.5972,525086955901.4938,549684826158.3099,63.272352543494534,63.97592031652378,62.66415468667478,63.380083446839244,453673854276.9838,445009368650.6178,423793764833.4059,416430952002.37714,422576022117.7555,415511830407.63055,458840732774.8534,450776698539.08984,NaN,NaN,NaN,NaN,226277612920.90985,176776322691.62796
1606867200,549979858182.3771,570623507997.5002,535917933004.2468,563798440358.2301,63.35492709411462,63.496177184521166,62.928933202656125,63.29452331937277,457880292135.11237,449190201978.04114,427716811441.41614,420060273364.7338,426312586327.92194,419112082381.06104,462505741798.54675,454686379625.5755,NaN,NaN,NaN,NaN,160318877780.85043,179202572759.04694
1606953600,563672323096.073,578935895125.2549,552009512197.5192,571082430134.2467,63.29065296075124,63.48974193624323,62.90737026198824,63.2114786591387,462128196277.86487,453469184141.71387,431691668921.8358,423864374059.0215,430371567305.29553,422865244022.47253,466323123874.8323,458565294375.32776,NaN,NaN,NaN,NaN,134409959591.16394,180002851658.3532
1607040000,571122553306.4519,577071913889.1594,537316916807.8229,542096530248.81885,63.182711915450376,64.16600609361464,62.89339083347095,63.9422329484418,466384460564.98846,457847574717.259,435139007728.00726,427689507870.573,434197204719.9316,426642564254.95886,469954231744.1545,462361606831.60333,NaN,NaN,NaN,NaN,140912157495.69217,182075214211.20935
1607126400,541387874174.2673,562223143385.1188,535970606993.1229,559773327767.9325,63.94773386539501,64.0742806637541,63.344646524283654,63.5455649348889,470455687648.9757,462104498180.78534,439022930445.0295,431472836673.9391,438054687647.4671,430446605385.7949,472979441961.891,465900885208.3659,NaN,NaN,NaN,NaN,115617112580.56161,183325744019.07874
1607212800,559891582934.4691,570422747481.3041,548960974388.91125,565876125951.9249,63.53502065808427,63.81416971996984,63.19588621459123,63.57960474056578,474812565115.6648,466332240348.5215,442969757735.4816,435308035254.35425,442130387132.896,434341199301.4953,476174304437.9373,469325358284.8897,NaN,NaN,NaN,NaN,109109654297.52821,176314556700.4059
1607299200,566061569963.0947,569869041421.6805,549786654124.651,559624885268.5105,63.5771015885239,63.83783753605366,63.30175727059172,63.60628900691406,479078830672.23224,470571948055.9455,446687493719.60657,439102171709.9923,446161291971.92365,438281230191.63806,479246263027.56824,472632326532.4492,NaN,NaN,NaN,NaN,107928073344.5534,174725208078.99945
1607385600,560453062650.0431,565103267110.3398,525297303872.8819,532535718513.8926,63.547213352806295,64.19646768486848,63.410058604675065,63.85698005067967,483087549794.36523,474763818759.2456,449847979453.0853,442733433816.2422,449703475656.88763,442088645346.72125,482061246767.987,475775299944.29517,NaN,NaN,NaN,NaN,124395630385.09769,172460595384.8587
1607472000,532654801344.8381,549651508028.9326,509653484667.9817,542764813891.4432,63.82784530144643,64.26408407490798,63.014802862014186,63.4781515230554,486712028880.2544,478829332422.2988,453075832635.6359,446320798797.76794,452942001653.8553,445706430782.4326,484277320907.6901,478609306932.0935,NaN,NaN,NaN,NaN,143992559177.66086,173103080693.19598
1607558400,541867257218.1331,544372869123.3504,520863785460.2434,532007102733.5281,63.55092153588354,63.837890966097845,63.31213302531326,63.69541699476715,489668961419.258,482671987176.3553,456081032333.00946,449732419175.36395,456280787537.61115,449231216367.4921,486247666750.82654,481155426871.6712,NaN,NaN,NaN,NaN,106656519002.39903,171126968678.06198
1607644800,532064753636.1686,535362767410.43274,508982559430.5383,523196364519.4657,63.69151672319375,64.09653493205056,63.43834215517424,64.02482066117207,492423948647.99536,486194263882.8214,458850381626.00824,452908543953.46936,458935212688.6061,452465881807.86346,487857997919.99396,483389617221.1121,NaN,NaN,NaN,NaN,113600956523.64009,167181194033.294
1607731200,523043514266.6885,550873427386.7499,518843582793.8751,542185839948.6805,64.01516965367989,64.50229368840536,63.899989086902686,64.44154765876237,495573999617.43726,489493297671.8624,461982666756.594,455967578560.8668,461717082886.0489,455549615500.5919,489924077574.64166,485567770672.28864,NaN,NaN,NaN,NaN,95164034868.30286,161485641710.45645
1607817600,541724738553.4438,563187410771.0298,534619786069.99457,554133386510.6805,64.46961869657814,64.70557550324365,64.02348517802979,64.2174193750048,498895046064.9614,492654796925.9816,465308301422.5877,459059642954.7673,464715853222.9348,458605028074.70624,492326154072.8839,487820565139.15375,NaN,NaN,NaN,NaN,102412265305.8471,155816790555.86832
1607904000,554066954367.6469,561141972471.2627,544966718371.97,555588563459.4822,64.1928830100986,64.6766071504283,64.02914622755301,64.42657902146762,502055387506.36743,495723468651.2042,468649835519.4386,462174443531.52783,467917254182.83984,461709103444.0841,494582410413.8144,490074513564.04065,NaN,NaN,NaN,NaN,90435400323.24336,147152878987.2182
1607990400,555635948878.7812,566114248748.5734,545446011200.6586,557875044489.869,64.42414071273205,64.86387504625917,64.19459794563876,64.70001569427878,505399016653.1774,498869479697.9881,472145792651.6848,465387395595.2629,471261519060.31665,464893241982.8283,496927716588.72455,492358914572.2686,NaN,NaN,NaN,NaN,105828328846.20427,141455265565.73016
