time,open,high,low,close,MA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Rolling POC,Volume,Volume MA
1636656300,174.726,174.726,174.6095,174.6095,NaN,NaN,NaN,NaN,NaN,NaN,10000,59937
1636657200,174.527,174.527,174.196,174.196,NaN,NaN,NaN,NaN,NaN,NaN,26000,53768
1636658100,174.163,174.224,174.1455,174.159,NaN,NaN,NaN,NaN,NaN,NaN,12000,37963
1636659000,174.434,174.652,174.3955,174.407,NaN,NaN,NaN,NaN,NaN,NaN,24000,32822
1636659900,174.357,174.357,174.0015,174.0205,NaN,NaN,NaN,NaN,NaN,NaN,28000,28576
1636660800,173.9405,173.9975,173.4405,173.4405,NaN,NaN,NaN,NaN,NaN,NaN,26000,26976
1636661700,173.649,173.93775,173.633,173.893,NaN,NaN,NaN,NaN,NaN,NaN,57900,28071
1636662600,173.8635,173.8635,173.7,173.706,NaN,NaN,NaN,NaN,NaN,NaN,37000,27697
1636663500,173.744,173.7525,173.423,173.4875,NaN,NaN,NaN,NaN,NaN,NaN,72060,30300
1636727400,174.2805,174.2975,172.479,172.7525,NaN,NaN,NaN,NaN,NaN,NaN,141260,36225
1636728300,173.661,174.0235,172.8755,173.8565,NaN,NaN,NaN,NaN,NaN,NaN,63380,37885
1636729200,173.8055,174.5015,173.8055,174.3155,NaN,NaN,NaN,NaN,NaN,NaN,44020,39686
1636730100,174.2255,174.422,173.7665,174.006,NaN,NaN,NaN,NaN,NaN,NaN,42600,41316
1636731000,174.456,174.456,173.9445,174.2665,NaN,NaN,NaN,NaN,NaN,NaN,18000,39016
1636731900,174.3165,174.7975,174.3165,174.7975,NaN,NaN,NaN,NaN,NaN,NaN,14540,37838
1636732800,174.8055,175.827,174.8055,175.4105,NaN,NaN,NaN,NaN,NaN,NaN,73560,39716
1636733700,175.8,176.0415,175.745,176.029,NaN,NaN,NaN,NaN,NaN,NaN,97400,44086
1636734600,176.054,176.1295,175.748,175.748,NaN,NaN,NaN,NaN,NaN,NaN,38000,44786
1636735500,175.794,176.0295,175.6315,175.954,NaN,NaN,NaN,NaN,NaN,NaN,47480,45260
1636736400,176.0145,176.7675,175.95,176.7565,NaN,NaN,NaN,NaN,NaN,NaN,144580,50889
1636737300,176.871,176.8875,176.576,176.6725,NaN,NaN,NaN,NaN,NaN,NaN,60000,53389
1636738200,176.6405,177.026,176.534,177.016,NaN,NaN,NaN,NaN,NaN,NaN,80000,56089
1636739100,176.7705,176.813,176.3865,176.4415,NaN,NaN,NaN,NaN,NaN,NaN,58000,58389
1636740000,176.283,176.3155,176.066,176.139,NaN,NaN,NaN,NaN,NaN,NaN,55380,59958
1636740900,176.0965,176.0965,175.9,176.0385,NaN,NaN,NaN,NaN,NaN,NaN,16000,59358
1636741800,176.23,176.2675,176.23,176.2675,NaN,NaN,NaN,NaN,NaN,NaN,5000,58308
1636742700,176.121,176.121,176.023,176.023,NaN,NaN,NaN,NaN,NaN,NaN,10000,55913
1636743600,176.006,176.006,175.8385,175.8385,NaN,NaN,NaN,NaN,NaN,NaN,12000,54663
1636744500,175.8925,175.8925,175.8925,175.8925,NaN,NaN,NaN,NaN,NaN,NaN,2000,51160
1636745400,175.568,175.632,175.3345,175.543,NaN,NaN,NaN,NaN,NaN,NaN,66800,47437
1636746300,175.5695,175.8535,175.5235,175.8395,NaN,NaN,NaN,NaN,NaN,NaN,48000,46668
1636747200,175.7905,175.7905,175.4225,175.6235,NaN,NaN,NaN,NaN,NaN,NaN,23120,45623
1636748100,175.604,176.133,175.604,176.133,NaN,NaN,NaN,NaN,NaN,NaN,78840,47435
1636749000,176.15,176.4565,176.15,176.293,NaN,NaN,NaN,NaN,NaN,NaN,66680,49869
1636749900,176.224,176.376,175.979,176.3505,NaN,NaN,NaN,NaN,NaN,NaN,157140,56999
1636986600,176.875,179.0195,176.683,178.6495,NaN,NaN,NaN,NaN,NaN,NaN,136200,60131
1636987500,178.925,179.5845,178.6555,179.31275,NaN,NaN,NaN,NaN,NaN,NaN,123000,61411
1636988400,179.3165,179.3525,177.475,177.8125,NaN,NaN,NaN,NaN,NaN,NaN,77880,63405
1636989300,177.414,177.757,177.1885,177.5515,NaN,NaN,NaN,NaN,NaN,NaN,82500,65156
1636990200,177.5535,177.7,176.8715,177.1245,NaN,NaN,NaN,NaN,NaN,NaN,59820,60918
1636991100,177.15,177.5185,177.0305,177.514,NaN,NaN,NaN,NaN,NaN,NaN,28140,59325
1636992000,177.2745,177.554,177.2745,177.2975,NaN,NaN,NaN,NaN,NaN,NaN,16320,56141
1636992900,177.207,177.3875,177.20125,177.228,NaN,NaN,NaN,NaN,NaN,NaN,14500,53966
1636993800,177.1755,177.5505,176.396,176.4545,NaN,NaN,NaN,NaN,NaN,NaN,54480,53921
1636994700,176.343,176.7345,176.343,176.6705,NaN,NaN,NaN,NaN,NaN,NaN,39980,55120
1636995600,176.73,177.1865,176.73,177.1405,NaN,NaN,NaN,NaN,NaN,NaN,20000,55870
1636996500,176.9595,176.967,176.6675,176.8575,NaN,NaN,NaN,NaN,NaN,NaN,26480,56694
1636997400,177.069,177.237,176.95475,177.2295,NaN,NaN,NaN,NaN,NaN,NaN,20000,57094
1636998300,176.9875,177.167,176.9875,176.998,NaN,NaN,NaN,NaN,NaN,NaN,12000,57594
1636999200,177.175,177.433,177.175,177.392,NaN,NaN,NaN,NaN,NaN,NaN,28000,55654
1637000100,177.3935,177.741,177.297,177.4575,NaN,NaN,NaN,NaN,NaN,NaN,50500,55779
1637001000,177.4905,177.4905,177.3795,177.3795,NaN,NaN,NaN,NaN,NaN,NaN,8000,55023
1637001900,177.598,177.598,177.5515,177.5515,NaN,NaN,NaN,NaN,NaN,NaN,6000,51381
1637002800,177.2655,178.286,177.245,178.075,NaN,NaN,NaN,NaN,NaN,NaN,57260,50910
1637003700,178.065,178.065,177.897,177.897,NaN,NaN,NaN,NaN,NaN,NaN,4000,43253
1637004600,177.7945,178.0545,177.712,178.0545,NaN,NaN,NaN,NaN,NaN,NaN,10000,36943
1637005500,178.03425,178.03425,177.711,177.711,NaN,NaN,NaN,NaN,NaN,NaN,21060,31846
1637006400,177.4605,177.5495,177.3705,177.5495,NaN,NaN,NaN,NaN,NaN,NaN,10000,28452
1637007300,177.506,177.7255,177.506,177.7255,NaN,NaN,NaN,NaN,NaN,NaN,9060,24780
1637008200,177.73,177.73,177.065,177.2325,NaN,NaN,NaN,NaN,NaN,NaN,30240,23301
1637009100,177.25,177.3065,176.8815,177.3045,NaN,NaN,NaN,NaN,NaN,NaN,50100,24399
1637073000,177.1325,178.715,177.1325,178.063,NaN,NaN,NaN,NaN,NaN,NaN,87680,27967
1637073900,178.1285,178.1285,176.95,176.95,NaN,NaN,NaN,NaN,NaN,NaN,46000,29542
1637074800,177.0065,177.55,177.0065,177.341,NaN,NaN,NaN,NaN,NaN,NaN,24240,28030
1637075700,177.5,177.5,176.4295,176.5255,NaN,NaN,NaN,NaN,NaN,NaN,54300,28746
